Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV026,4/24/2018 5:39,4/24/2018 7:00,19.417,0.219,1.128,1.347,87.5,56,31.5,42.223,53.24,,
EV026,4/18/2018 17:14,4/18/2018 18:52,14.585,0.742,0.892,1.633,99.5,94,5.5,31.031,63.68,,
EV026,4/18/2018 12:01,4/18/2018 17:01,48.444,1.686,3.311,4.997,72,54.5,17.5,115.081,62.6,,
EV026,4/18/2018 10:17,4/18/2018 11:33,14.786,0.331,0.95,1.281,100,87,13,31.564,60.08,,
EV026,4/18/2018 8:09,4/18/2018 10:02,21.836,0.464,1.425,1.889,100,59.5,40.5,45.08,55.04,,
EV026,4/18/2018 5:34,4/18/2018 7:58,34.252,0.614,1.786,2.4,87.5,62,25.5,66.998,48.56,,
EV026,4/13/2018 17:11,4/13/2018 18:17,14.148,0.278,0.811,1.089,99,92.5,6.5,31.337,74.12,,
EV026,4/13/2018 8:09,4/13/2018 16:58,100.556,2.786,6.036,8.822,100,72.5,27.5,213.407,63.32,,
EV026,4/13/2018 6:17,4/13/2018 7:54,21.194,0.325,1.278,1.603,63.5,55.5,8,40.38,47.12,,
EV026,4/9/2018 17:11,4/9/2018 17:57,10.495,0.164,0.603,0.767,99,63.5,35.5,23.894,79.16,,
EV026,4/9/2018 16:08,4/9/2018 16:58,11.507,0.153,0.667,0.819,100,72,28,25.965,83.48,,
EV026,4/9/2018 15:06,4/9/2018 15:56,11.596,0.142,0.7,0.842,99.5,57,42.5,27.137,87.08,,
EV026,4/9/2018 13:05,4/9/2018 14:53,19.94,0.639,1.161,1.8,66,44.5,21.5,44.439,83.12,,
EV026,4/9/2018 5:40,4/9/2018 12:53,79.456,2.564,4.661,7.225,,71.5,-71.5,163.436,54.32,,
EV026,3/29/2018 17:11,3/29/2018 19:15,21.984,0.797,1.275,2.072,99.5,92,7.5,48.212,78.08,,
EV026,3/29/2018 13:03,3/29/2018 17:01,43.765,1.136,2.822,3.958,100,63.5,36.5,103.625,82.76,,
EV026,3/29/2018 9:10,3/29/2018 12:52,43.634,0.942,2.764,3.706,98.5,71.5,27,89.514,71.6,,
EV026,3/29/2018 6:17,3/29/2018 8:56,32.616,0.639,2.008,2.647,100,73,27,64.145,56.48,,
EV026,3/29/2018 5:27,3/29/2018 6:07,12.463,0.047,0.622,0.669,87,55.5,31.5,22.24,51.8,,
EV026,3/26/2018 17:11,3/26/2018 18:14,14.433,0.231,0.817,1.047,100,94,6,31.434,68.72,,
EV026,3/26/2018 15:04,3/26/2018 17:00,23.233,0.619,1.311,1.931,100,72,28,52.487,72.68,,
EV026,3/26/2018 8:07,3/26/2018 14:53,80.205,2.081,4.683,6.764,100,47.5,52.5,171.183,57.92,,
EV026,3/26/2018 5:38,3/26/2018 7:55,30.761,0.542,1.753,2.294,93.5,58,35.5,64.613,42.44,,
EV026,3/23/2018 17:12,3/23/2018 18:10,14.076,0.225,0.739,0.964,100,94,6,28.925,61.52,,
EV026,3/23/2018 12:06,3/23/2018 16:58,58.118,1.294,3.581,4.875,100,72.5,27.5,133.587,65.48,,
EV026,3/23/2018 11:10,3/23/2018 11:55,11.38,0.064,0.7,0.764,100,76,24,23.185,65.12,,
EV026,3/23/2018 9:06,3/23/2018 10:22,17.11,0.289,0.975,1.264,100,89.5,10.5,32.969,55.4,,
EV026,3/23/2018 5:36,3/23/2018 8:51,42.134,0.781,2.464,3.244,90,65,25,83.832,42.8,,
EV026,3/21/2018 17:11,3/21/2018 18:09,13.941,0.164,0.789,0.953,99.5,91,8.5,30.122,67.28,,
EV026,3/21/2018 16:03,3/21/2018 16:59,11.662,0.192,0.728,0.919,99.5,65,34.5,26.268,69.08,,
EV026,3/21/2018 12:31,3/21/2018 15:53,40.326,0.95,2.422,3.372,87.5,66,21.5,83.565,68.72,,
EV026,3/21/2018 8:05,3/21/2018 12:20,51.593,1.167,3.078,4.244,100,88,12,103.999,59.36,,
EV026,3/21/2018 7:08,3/21/2018 7:55,11.466,0.075,0.7,0.775,100,72,28,23.336,53.6,,
EV026,3/21/2018 5:41,3/21/2018 6:57,19.2,0.186,1.078,1.264,93,59.5,33.5,38.096,52.16,,
EV026,3/20/2018 5:41,3/20/2018 18:10,148.738,3.436,9.053,12.489,94.5,93.5,1,310.969,54.32,,
