Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV026,CH007-CH008,,,1/8/2018 19:02,1/8/2018 19:08,230.935,307.86,24.111,65.5,100
EV026,CH007-CH008,,,1/10/2018 7:05,1/10/2018 7:10,297.656,353.62,22.049,68,100
EV026,CH007-CH008,,,1/10/2018 8:00,1/10/2018 8:10,215.931,336.76,27.326,62,100
EV026,CH007-CH008,,,1/10/2018 8:56,1/10/2018 9:09,279.963,328.1,21.773,71,100
EV026,CH007-CH008,,,1/11/2018 7:52,1/11/2018 8:05,263.015,297.18,24.613,65,100
EV026,CH007-CH008,,,1/11/2018 8:56,1/11/2018 9:00,264.692,336.12,20.989,72,99.5
EV026,CH007-CH008,,,1/11/2018 9:50,1/11/2018 10:01,289.071,353.32,21.418,71.5,100
EV026,CH007-CH008,,,1/11/2018 10:56,1/11/2018 11:05,306.472,367.8,20.239,73,100
EV026,CH007-CH008,,,1/11/2018 11:45,1/11/2018 11:50,195.542,270.62,19.885,73.5,100
EV026,CH007-CH008,,,1/11/2018 14:00,1/11/2018 14:00,272.489,351.42,24.596,65.5,100
EV026,CH007-CH008,,,1/11/2018 15:55,1/11/2018 16:00,45.094,204.1,24.049,65,100
EV026,CH007-CH008,,,1/11/2018 16:57,1/11/2018 17:05,34.085,41.38,17.158,75,100
EV026,CH007-CH008,,,1/11/2018 18:59,1/11/2018 19:04,289.012,341.26,5.916,88.5,100
EV026,CH007-CH008,,,1/12/2018 9:14,1/12/2018 9:24,268.129,370.2,27.41,61.5,100
EV026,CH007-CH008,,,1/12/2018 10:23,1/12/2018 10:35,297.303,341.22,17.631,72.5,98.5
EV026,CH007-CH008,,,1/12/2018 11:24,1/12/2018 11:29,314.417,344.44,20.551,72.5,100
EV026,CH007-CH008,,,1/12/2018 12:22,1/12/2018 12:25,259.989,367.34,17.08,77,100
EV026,CH007-CH008,,,1/12/2018 13:20,1/12/2018 13:27,303.448,349.42,24.074,65.5,100
EV026,CH007-CH008,,,1/12/2018 15:15,1/12/2018 15:20,222.062,343.28,32.092,56.5,100
EV026,CH007-CH008,,,1/12/2018 16:00,1/12/2018 16:02,253.699,345.8,19.237,67,97
EV026,CH007-CH008,,,1/12/2018 16:55,1/12/2018 17:07,307.052,357.52,20.705,72.5,100
EV026,CH007-CH008,,,1/12/2018 19:01,1/12/2018 19:05,322.626,354.2,22.042,67.5,100
EV026,CH007-CH008,,,1/12/2018 20:35,1/12/2018 20:39,200.444,338.28,21.669,71.5,100
EV026,CH007-CH008,,,1/16/2018 7:45,1/16/2018 8:06,287.16,326.82,21.659,71.5,100
EV026,CH007-CH008,,,1/16/2018 8:55,1/16/2018 9:04,284.15,348.08,19.637,74,100
EV026,CH007-CH008,,,1/16/2018 10:00,1/16/2018 10:00,258.451,354.48,34.021,55,100
EV026,CH007-CH008,,,1/16/2018 10:47,1/16/2018 10:58,261.102,355.18,29.376,55.5,96.5
EV026,CH007-CH008,,,1/16/2018 11:55,1/16/2018 11:59,234.552,360.78,21.396,71.5,100
EV026,CH007-CH008,,,1/16/2018 12:49,1/16/2018 12:59,267.903,369.32,25.758,63.5,100
EV026,CH007-CH008,,,1/16/2018 13:57,1/16/2018 14:00,221.175,298.94,24,65.5,100
EV026,CH007-CH008,,,1/16/2018 14:47,1/16/2018 14:56,247.386,275.34,30.94,57.5,100
EV026,CH007-CH008,,,1/16/2018 15:55,1/16/2018 16:00,319.794,350.6,23.186,66.5,100
EV026,CH007-CH008,,,1/16/2018 16:55,1/16/2018 17:01,292.098,363,23.17,66.5,100
EV026,CH007-CH008,,,1/16/2018 18:07,1/16/2018 18:10,292.9,360.34,32.821,55.5,98.5
EV026,CH007-CH008,,,1/16/2018 19:10,1/16/2018 19:14,244.691,285.4,13.947,65,85.5
EV026,CH007-CH008,,,1/16/2018 20:29,1/16/2018 20:37,251.118,338,23.143,67,100
EV026,CH007-CH008,,,1/17/2018 7:51,1/17/2018 8:03,228.437,270.48,23.925,65,99
EV026,CH007-CH008,,,1/17/2018 8:59,1/17/2018 9:06,159.917,245.02,22.17,67.5,100
EV026,CH007-CH008,,,1/17/2018 9:54,1/17/2018 10:01,220.21,287,20.508,72.5,100
EV026,CH007-CH008,,,1/17/2018 10:48,1/17/2018 10:55,180.052,252,21.927,68,100
EV026,CH007-CH008,,,1/17/2018 11:55,1/17/2018 11:59,9.504,41.92,11.48,80.5,99
EV026,CH007-CH008,,,1/17/2018 12:50,1/17/2018 12:57,285.227,336.86,30.704,57.5,100
EV026,CH007-CH008,,,1/17/2018 13:55,1/17/2018 13:59,317.5,366.04,20.421,73,100
EV026,CH007-CH008,,,1/17/2018 14:47,1/17/2018 14:56,246.189,270.12,31.768,56.5,100
EV026,CH007-CH008,,,1/17/2018 16:51,1/17/2018 17:00,213.863,263.1,23.316,66.5,100
EV026,CH007-CH008,,,1/17/2018 18:10,1/17/2018 18:10,221.888,340.5,28.698,60,100
EV026,CH007-CH008,,,1/17/2018 20:32,1/17/2018 20:40,311.764,362.18,25.07,64.5,100
EV026,CH007-CH008,,,1/18/2018 6:58,1/18/2018 7:05,304.913,367.98,21.636,71,100
EV026,CH007-CH008,,,1/18/2018 7:54,1/18/2018 8:04,209.781,302.16,24.98,64.5,100
EV026,CH007-CH008,,,1/18/2018 8:54,1/18/2018 9:00,248.487,320.1,20.786,72.5,100
EV026,CH007-CH008,,,1/18/2018 9:50,1/18/2018 9:58,301.474,359.98,21.682,71.5,100
EV026,CH007-CH008,,,1/18/2018 11:42,1/18/2018 11:45,224.765,344.84,19.947,73.5,100
EV026,CH007-CH008,,,1/18/2018 13:00,1/18/2018 13:00,232.206,280.18,20.48,72.5,100
EV026,CH007-CH008,,,1/18/2018 13:48,1/18/2018 13:56,295.805,351.96,24.501,65,99
EV026,CH007-CH008,,,1/18/2018 14:56,1/18/2018 15:00,283.696,341.12,23.581,66,100
